grupo,internacoes,obitos,taxa_obito,dias_perm_medio,pct_com_uti,idade_media,val_medio_aih
Outros motivos,9188589,505529,5.5,5.06,9.69,43.5,1578.23
COVID (B342),411272,94571,22.99,8.86,30.45,57.57,6181.92
