fpr,tpr
0.0,0.0
4.4445609907104233e-07,0.0
4.4445609907104233e-07,6.6655557407098815e-06
3.111192693497296e-06,6.6655557407098815e-06
3.111192693497296e-06,1.3331111481419763e-05
3.5556487925683386e-06,1.3331111481419763e-05
3.5556487925683386e-06,1.9996667222129645e-05
5.333473188852508e-06,1.9996667222129645e-05
5.333473188852508e-06,2.6662222962839526e-05
5.77792928792355e-06,2.6662222962839526e-05
5.77792928792355e-06,3.332777870354941e-05
7.5557536842077194e-06,3.332777870354941e-05
7.5557536842077194e-06,5.332444592567905e-05
8.00020978327876e-06,5.332444592567905e-05
8.00020978327876e-06,5.999000166638894e-05
8.444665882349805e-06,5.999000166638894e-05
8.444665882349805e-06,7.33211131478087e-05
1.0222490278633973e-05,7.33211131478087e-05
1.0222490278633973e-05,0.0001066488918513581
1.0666946377705015e-05,0.0001066488918513581
1.0666946377705015e-05,0.00011331444759206799
1.1111402476776058e-05,0.00011331444759206799
1.1111402476776058e-05,0.00011998000333277787
1.15558585758471e-05,0.00011998000333277787
1.15558585758471e-05,0.00012664555907348775
1.4222595170273355e-05,0.00012664555907348775
1.4222595170273355e-05,0.00013331111481419764
1.6444875665628564e-05,0.00013331111481419764
1.6444875665628564e-05,0.00013997667055490752
1.688933176469961e-05,0.00013997667055490752
1.688933176469961e-05,0.00015997333777703716
1.7778243962841694e-05,0.00015997333777703716
1.7778243962841694e-05,0.00016663889351774705
1.8222700061912736e-05,0.00016663889351774705
1.8222700061912736e-05,0.0001866355607398767
1.911161226005482e-05,0.0001866355607398767
1.911161226005482e-05,0.00019330111648058657
1.9556068359125862e-05,0.00019330111648058657
1.9556068359125862e-05,0.00020663222796200634
2.0000524458196904e-05,0.00020663222796200634
2.0000524458196904e-05,0.0002132977837027162
2.0444980557267947e-05,0.0002132977837027162
2.0444980557267947e-05,0.00022662889518413598
2.088943665633899e-05,0.00022662889518413598
2.088943665633899e-05,0.00023329445092484585
2.133389275541003e-05,0.00023329445092484585
2.133389275541003e-05,0.0002532911181469755
2.2222804953552115e-05,0.0002532911181469755
2.2222804953552115e-05,0.0002599566738876854
2.4000629349836284e-05,0.0002599566738876854
2.4000629349836284e-05,0.00027328778536910513
2.4889541547978368e-05,0.00027328778536910513
2.4889541547978368e-05,0.00028661889685052493
2.5778453746120453e-05,0.00028661889685052493
2.5778453746120453e-05,0.00030661556407265457
2.6667365944262537e-05,0.00030661556407265457
2.6667365944262537e-05,0.00033994334277620395
2.711182204333358e-05,0.00033994334277620395
2.711182204333358e-05,0.00034660889851691385
2.844519034054671e-05,0.00034660889851691385
2.844519034054671e-05,0.0003599400099983336
2.888964643961775e-05,0.0003666055657390435
2.9334102538688793e-05,0.0003666055657390435
2.9334102538688793e-05,0.0003732711214797534
2.9778558637759836e-05,0.0003732711214797534
2.9778558637759836e-05,0.00038660223296117313
2.9778558637759836e-05,0.0003999333444425929
2.9778558637759836e-05,0.0004132644559240127
3.111192693497296e-05,0.0004132644559240127
3.111192693497296e-05,0.00045325779036827196
3.244529523218609e-05,0.00045325779036827196
3.244529523218609e-05,0.00045992334610898186
3.288975133125713e-05,0.0004665889018496917
